,mac,apName,rssi,num_neighbor
0,54:ec:2f:09:45:d0,E05-Cube-344-R850,"[-86.0, -73.0, -80.0, -78.5, -54.0, -84.0, -80.0, -72.33333333333333, -65.33333333333333, -62.333333333333336, -63.333333333333336, -88.0, -82.33333333333333, -70.0, -51.666666666666664, -49.5, -67.33333333333333, -63.666666666666664, -84.0, -71.66666666666667, -86.0, -83.66666666666667, -86.0, -75.0, -65.0, -86.33333333333333, -75.66666666666667, -61.0, -54.666666666666664, -61.5, -59.5, -76.0, -69.5, -90.0, -77.0, -61.0, -71.33333333333333, -59.0, -78.0]",22
1,54:ec:2f:10:06:20,E01-R750-FrontLobby,"[-48.666666666666664, -88.66666666666667, -69.0, -79.0, -86.33333333333333, -72.0, -85.0, -85.0, -82.33333333333333, -92.0, -65.0, -85.66666666666667, -71.33333333333333, -89.0, -65.33333333333333, -78.0, -73.0, -60.333333333333336, -74.33333333333333, -86.0, -85.33333333333333, -58.0, -86.0, -53.333333333333336, -67.66666666666667, -62.333333333333336, -61.0, -55.666666666666664, -85.0, -84.0, -80.0, -79.0, -77.0, -72.0, -67.0, -64.33333333333333, -75.0, -67.0, -91.0, -56.333333333333336, -67.0, -78.0, -87.66666666666667, -74.33333333333333, -67.0]",26
2,58:fb:96:01:96:20,W10-R350-Doberman,"[-80.0, -72.66666666666667, -77.0, -82.0, -58.333333333333336, -66.33333333333333, -56.333333333333336, -53.0, -74.0, -72.0, -64.66666666666667, -63.0, -78.0, -60.333333333333336, -71.0, -49.666666666666664, -68.0, -71.66666666666667, -70.33333333333333, -89.0, -50.333333333333336, -64.0, -84.0, -73.66666666666667, -72.66666666666667, -88.0, -73.0]",14
3,5c:df:89:0b:ff:80,W05_R760_Printer,"[-66.66666666666667, -82.66666666666667, -64.66666666666667, -76.66666666666667, -56.666666666666664, -50.0, -81.33333333333333, -71.66666666666667, -55.666666666666664, -68.0, -72.33333333333333, -81.66666666666667, -67.66666666666667, -57.333333333333336, -53.666666666666664, -68.33333333333333, -82.0, -91.0, -76.33333333333333, -87.0, -60.0, -74.0, -48.666666666666664, -67.66666666666667, -78.66666666666667, -75.0, -74.0, -89.0, -71.33333333333333, -66.33333333333333, -66.0, -92.0, -93.0, -68.0, -67.66666666666667, -86.0, -84.0, -56.0, -88.33333333333333, -90.0, -72.66666666666667, -72.66666666666667, -77.0, -88.0, -63.333333333333336]",24
4,b4:79:c8:3e:85:10,E12-East-Entrance-R550,"[-54.666666666666664, -64.0, -93.0, -91.0, -62.333333333333336, -79.0, -71.33333333333333, -83.0, -52.0, -92.0, -67.33333333333333, -85.66666666666667, -84.0, -66.33333333333333, -68.33333333333333, -68.0, -70.0, -60.0, -77.0, -87.0, -62.0, -70.0, -50.333333333333336, -53.0]",14
5,1c:3a:60:3b:dd:70,E03-R750_EastOfFoxhound,"[-78.33333333333333, -71.33333333333333, -84.33333333333333, -71.66666666666667, -87.0, -94.0, -75.66666666666667, -86.0, -85.66666666666667, -65.0, -57.333333333333336, -51.666666666666664, -81.66666666666667, -64.0, -58.666666666666664, -59.0, -48.666666666666664, -66.0, -80.0, -81.66666666666667, -77.0, -73.0, -83.0, -78.0, -65.0, -54.0, -53.0, -81.0, -45.333333333333336, -68.0, -93.0, -64.33333333333333, -54.666666666666664, -45.666666666666664, -64.33333333333333, -75.33333333333333, -58.333333333333336, -55.333333333333336, -95.0, -77.66666666666667, -69.0, -76.0, -50.0, -75.0, -77.0]",23
6,5c:df:89:2f:04:20,W11-R350-Hardwarelab,"[-90.0, -75.33333333333333, -75.33333333333333, -85.0, -46.0, -66.0, -67.33333333333333, -73.33333333333333, -68.0, -66.66666666666667, -71.0, -83.0, -51.0, -82.0, -81.0, -75.5, -72.33333333333333, -76.33333333333333, -86.0, -78.66666666666667, -53.0, -78.5, -63.0, -58.0, -74.0, -49.666666666666664, -71.66666666666667, -67.5, -88.0, -90.0, -80.0]",18
7,34:20:e3:28:17:80,W09_R550_Dalmation,"[-88.0, -78.66666666666667, -62.666666666666664, -72.0, -86.0, -66.33333333333333, -59.666666666666664, -90.0, -63.0, -62.0, -91.33333333333333, -68.0, -82.0, -67.33333333333333, -68.0, -65.33333333333333, -95.0, -68.66666666666667, -56.333333333333336, -92.0, -80.33333333333333, -63.0, -66.33333333333333, -50.333333333333336, -77.0, -74.0, -78.66666666666667, -90.0, -64.0, -84.0]",16
8,dc:ae:eb:01:ef:60,W07-R650-West-FACP,"[-83.0, -70.66666666666667, -53.333333333333336, -60.333333333333336, -86.0, -63.333333333333336, -73.0, -47.666666666666664, -79.66666666666667, -88.66666666666667, -68.0, -87.0, -68.33333333333333, -66.0, -55.666666666666664, -59.333333333333336, -81.0, -78.33333333333333, -66.33333333333333, -82.33333333333333, -59.666666666666664, -61.666666666666664, -94.0, -63.0, -68.0, -86.0, -57.333333333333336, -64.66666666666667, -78.0, -67.33333333333333, -68.33333333333333, -84.0, -74.33333333333333, -83.0]",19
9,94:bf:c4:14:f6:40,W12C-R750-South-Exit,"[-71.66666666666667, -83.0, -81.0, -75.66666666666667, -73.0, -71.33333333333333, -63.333333333333336, -67.33333333333333, -72.66666666666667, -81.0, -76.0, -76.66666666666667, -46.0, -71.66666666666667, -71.33333333333333, -75.5, -58.333333333333336, -85.0, -66.33333333333333, -56.333333333333336, -68.0, -68.0, -51.0, -76.33333333333333, -60.333333333333336, -86.0, -84.33333333333333, -69.0, -87.0, -88.0]",16
