,tp,eventCode,client,method,fromAP,toAP,fromAPName,toAPName,fromBand,toBand,fromRssi,toRssi,fromAPName,toAPName
0,2023-10-11 00:00:08.590,209,a2:29:1a:89:4e:16,11r,58:fb:96:16:1c:80,5c:df:89:0b:ff:80,Out02-MainEntranceLeft-T350d,W05_R760_Printer,,1,,-54.0,Out02-MainEntranceLeft-T350d,W05_R760_Printer
1,2023-10-11 00:09:47.607,209,a2:29:1a:89:4e:16,11r,58:fb:96:16:1c:80,5c:df:89:0b:ff:80,Out02-MainEntranceLeft-T350d,W05_R760_Printer,1,1,-71.0,-56.0,Out02-MainEntranceLeft-T350d,W05_R760_Printer
2,2023-10-11 00:10:20.358,209,a2:29:1a:89:4e:16,11r,58:fb:96:16:1c:80,5c:df:89:0b:ff:80,Out02-MainEntranceLeft-T350d,W05_R760_Printer,1,1,-71.0,-56.0,Out02-MainEntranceLeft-T350d,W05_R760_Printer
3,2023-10-11 00:22:55.111,209,7e:d6:b6:60:58:1d,11r,58:fb:96:16:1c:80,5c:df:89:0b:ff:80,Out02-MainEntranceLeft-T350d,W05_R760_Printer,1,1,-66.0,-80.0,Out02-MainEntranceLeft-T350d,W05_R760_Printer
4,2023-10-11 16:52:54.114,209,32:09:0e:24:ed:75,11r,58:fb:96:16:1c:80,5c:df:89:0b:ff:80,Out02-MainEntranceLeft-T350d,W05_R760_Printer,1,1,-62.0,-72.0,Out02-MainEntranceLeft-T350d,W05_R760_Printer
5,2023-10-11 19:35:08.946,209,92:61:68:3c:5c:66,11r,58:fb:96:16:1c:80,5c:df:89:0b:ff:80,Out02-MainEntranceLeft-T350d,W05_R760_Printer,,1,,-57.0,Out02-MainEntranceLeft-T350d,W05_R760_Printer
6,2023-10-12 17:34:10.615,209,6a:f0:6a:7f:3a:85,11r,58:fb:96:16:1c:80,5c:df:89:0b:ff:80,Out02-MainEntranceLeft-T350d,W05_R760_Printer,1,1,-66.0,-65.0,Out02-MainEntranceLeft-T350d,W05_R760_Printer
7,2023-10-12 17:55:16.628,209,22:17:9a:87:08:8c,11r,58:fb:96:16:1c:80,5c:df:89:0b:ff:80,Out02-MainEntranceLeft-T350d,W05_R760_Printer,,1,,-66.0,Out02-MainEntranceLeft-T350d,W05_R760_Printer
8,2023-10-12 18:40:02.605,209,8e:d5:20:eb:6f:84,11r,58:fb:96:16:1c:80,5c:df:89:0b:ff:80,Out02-MainEntranceLeft-T350d,W05_R760_Printer,,1,,-80.0,Out02-MainEntranceLeft-T350d,W05_R760_Printer
9,2023-10-12 20:25:00.155,209,8e:d5:20:eb:6f:84,11r,58:fb:96:16:1c:80,5c:df:89:0b:ff:80,Out02-MainEntranceLeft-T350d,W05_R760_Printer,1,1,-85.0,-70.0,Out02-MainEntranceLeft-T350d,W05_R760_Printer
10,2023-10-12 20:49:10.488,209,90:cc:df:95:c4:b9,11r,58:fb:96:16:1c:80,5c:df:89:0b:ff:80,Out02-MainEntranceLeft-T350d,W05_R760_Printer,1,1,-86.0,-75.0,Out02-MainEntranceLeft-T350d,W05_R760_Printer
11,2023-10-12 20:59:58.431,209,8e:d5:20:eb:6f:84,11r,58:fb:96:16:1c:80,5c:df:89:0b:ff:80,Out02-MainEntranceLeft-T350d,W05_R760_Printer,1,1,-63.0,-68.0,Out02-MainEntranceLeft-T350d,W05_R760_Printer
12,2023-10-12 21:11:59.877,209,5c:e9:1e:76:55:3d,11r,58:fb:96:16:1c:80,5c:df:89:0b:ff:80,Out02-MainEntranceLeft-T350d,W05_R760_Printer,1,1,-82.0,-51.0,Out02-MainEntranceLeft-T350d,W05_R760_Printer
13,2023-10-12 22:24:51.183,209,8e:d5:20:eb:6f:84,11r,58:fb:96:16:1c:80,5c:df:89:0b:ff:80,Out02-MainEntranceLeft-T350d,W05_R760_Printer,1,1,-63.0,-64.0,Out02-MainEntranceLeft-T350d,W05_R760_Printer
14,2023-10-12 22:26:46.555,209,9a:99:ea:40:7f:63,11r,58:fb:96:16:1c:80,5c:df:89:0b:ff:80,Out02-MainEntranceLeft-T350d,W05_R760_Printer,,1,,-70.0,Out02-MainEntranceLeft-T350d,W05_R760_Printer
